"id","name","name_ru","name_en","parent_name","fullname","parent"
"1873","3162","3162","null","УАЗ","","143"
"1875","3165","3165","null","УАЗ","","143"
"2278","320","320","","BMW","","11"
"955","3200 GT","3200 GT","null","Maserati","","75"
"1793","3221","3221","null","ГАЗ","","134"
"972","323","323","null","Mazda","","77"
"1794","3234","3234","null","ГАЗ","","134"
"2141","325i Xdrive","325i Xdrive","null","BMW","","11"
"546","328","328","null","Ferrari","","38"
"2242","328","328","null","BMW","","11"
"171","33","33","null","Alfa Romeo","","5"
"1795","3302","3302","null","ГАЗ","","134"
"2154","33021","33021","null","ГАЗ","","134"
"1876","3303","3303","null","УАЗ","","143"
"1796","3307","3307","null","ГАЗ","","134"
"1797","3308","3308","null","ГАЗ","","134"
"1798","3309","3309","null","ГАЗ","","134"
"1877","3309","3309","null","УАЗ","","143"
"1799","3310","3310","null","ГАЗ","","134"
"2275","335 I","335 I","","BMW","","11"
"1693","340","340","null","Volvo","","125"
"547","348","348","null","Ferrari","","38"
"1121","350Z","350Z","null","Nissan","","85"
"1723","353","353","null","Wartburg","","127"
"548","355 Berlinetta","355 Berlinetta","null","Ferrari","","38"
"549","355F1","355F1","null","Ferrari","","38"
"1694","360","360","null","Volvo","","125"
"550","360 Modena","360 Modena","null","Ferrari","","38"
"551","360 Spider","360 Spider","null","Ferrari","","38"
"552","365","365","null","Ferrari","","38"
"1878","3741","3741","null","УАЗ","","143"
"1879","3909","3909","null","УАЗ","","143"
"1984","390902","390902","null","УАЗ","","143"
"2178","390944","390944","null","УАЗ","","143"
"2134","390945","390945","null","УАЗ","","143"
"2129","39099","39099","null","УАЗ","","143"
"1891","390995","390995","null","УАЗ","","143"
"1880","3962","3962","null","УАЗ","","143"
"1326","4","4","null","Renault","","96"
"1521","4 Runner","4 Runner","null","Toyota","","121"
"1111","4/4","4/4","null","Morgan","","84"
"1368","400","400","null","Rover","","99"
"1649","400","400","null","Venturi","","123"
"1849","400","400","null","Москвич","","142"
"1258","4007","4007","null","Peugeot","","91"
"1998","4008","4008","null","Peugeot","","91"
"1850","401","401","null","Москвич","","142"
"1851","402","402","null","Москвич","","142"
"1852","403","403","null","Москвич","","142"
"2292","403","403","","Peugeot","","91"
"1259","405","405","null","Peugeot","","91"
"1260","406","406","null","Peugeot","","91"
"1261","407","407","null","Peugeot","","91"
"1853","407","407","null","Москвич","","142"
"1854","408","408","null","Москвич","","142"
"2289","408","408","","Peugeot","","91"
"1855","410","410","null","Москвич","","142"
"1825","4104","4104","null","ЗИЛ","","139"
"1826","41047","41047","null","ЗИЛ","","139"
"1834","412","412","null","ИЖ","","140"
"1856","412","412","null","Москвич","","142"
"553","412","412","null","Ferrari","","38"
"1314","415","415","null","Proton","","95"
"830","420","420","null","Jaguar","","58"
"2281","420","420","","BMW","","11"
"1857","426","426","null","Москвич","","142"
"1858","427","427","null","Москвич","","142"
"1810","43","43","null","КАМАЗ","","137"
"956","4300 GT Coupe","4300 GT Coupe","null","Maserati","","75"
"1695","440","440","null","Volvo","","125"
"1369","45","45","null","Rover","","99"
"554","456 GT","456 GT","null","Ferrari","","38"
"2175","458 Spider","458 Spider","null","Ferrari","","38"
"1881","459","459","null","УАЗ","","143"
"1696","460","460","null","Volvo","","125"
"1882","469","469","null","УАЗ","","143"
"1827","4741","4741","null","ЗИЛ","","139"
"1697","480","480","null","Volvo","","125"
"1327","5","5","null","Renault","","96"
"973","5","5","null","Mazda","","77"
"233","5 series","5 series","null","BMW","","11"
"577","500","500","null","Fiat","","39"
"207","5000","5000","null","Audi","","10"
"1262","504","504","null","Peugeot","","91"
"1263","505","505","null","Peugeot","","91"
"555","512 M","512 M","null","Ferrari","","38"
"1800","52/53","52/53","null","ГАЗ","","134"
"2201","520","520","null","BMW","","11"
"2295","525","525","","BMW","","11"
"2196","525TD","525TD","null","BMW","","11"
"1811","53","53","null","КАМАЗ","","137"
"1992","530","530","null","BMW","","11"
"1828","5301","5301","null","ЗИЛ","","139"
"2296","535","535","","BMW","","11"
"1812","54","54","null","КАМАЗ","","137"
"2186","545","545","null","BMW","","11"
"1813","55","55","null","КАМАЗ","","137"
"556","550 Barchetta","550 Barchetta","null","Ferrari","","38"
"557","550 Maranello","550 Maranello","null","Ferrari","","38"
"2006","550i","550i","null","BMW","","11"
"965","57","57","null","Maybach","","76"
"558","575 Maranello","575 Maranello","null","Ferrari","","38"
"966","57S","57S","null","Maybach","","76"
"559","599 GTB","599 GTB","null","Ferrari","","38"
"974","6","6","null","Mazda","","77"
"234","6 series","6 series","null","BMW","","11"
"507","600","600","null","Dodge","","31"
"578","600","600","null","Fiat","","39"
"1370","600","600","null","Rover","","99"
"1646","600","600","null","Trabant","","122"
"1647","601","601","null","Trabant","","122"
"1264","604","604","null","Peugeot","","91"
"1265","605","605","null","Peugeot","","91"
"1266","607","607","null","Peugeot","","91"
"1267","608","608","null","Peugeot","","91"
"560","612 Scaglietti","612 Scaglietti","null","Ferrari","","38"
"1510","613","613","null","Tatra","","117"
"967","62","62","null","Maybach","","76"
"975","626","626","null","Mazda","","77"
"968","62S","62S","null","Maybach","","76"
"2215","645","645","null","BMW","","11"
"1814","65","65","null","КАМАЗ","","137"
"2167","650i","650i","null","BMW","","11"
"1801","66","66","null","ГАЗ","","134"
"1802","67","67","null","ГАЗ","","134"
"1803","69","69","null","ГАЗ","","134"
"930","7","7","null","MG","","70"
"1886","7 HC TRANSPORTER","7 HC TRANSPORTER","null","Volkswagen","","124"
"235","7 series","7 series","null","BMW","","11"
"1511","700","700","null","Tatra","","117"
"1959","730","730","null","BMW","","11"
"1980","735 LI","735 LI","null","BMW","","11"
"1698","740","740","null","Volvo","","125"
"1989","740i","740i","null","BMW","","11"
"1699","744","744","null","Volvo","","125"
"1700","745","745","null","Volvo","","125"
"2146","745","745","null","BMW","","11"
"1993","745 Li","745 Li","null","BMW","","11"
"1371","75","75","null","Rover","","99"
"172","75","75","null","Alfa Romeo","","5"
"1987","750","750","null","BMW","","11"
"1357","750","750","null","Roewe","","97"
"1701","760","760","null","Volvo","","125"
"1807","762","762","null","ЕРАЗ","","135"
"1702","780","780","null","Volvo","","125"
"1328","8","8","null","Renault","","96"
"236","8 series","8 series","null","BMW","","11"
"208","80","80","null","Audi","","10"
"949","800","800","null","Maruti","","74"
"1372","800","800","null","Rover","","99"
"1268","806","806","null","Peugeot","","91"
"1269","807","807","null","Peugeot","","91"
"1512","815","815","null","Tatra","","117"
"1703","850","850","null","Volvo","","125"
"2197","850","850","null","BMW","","11"
"579","850","850","null","Fiat","","39"
"173","8C Competizione","8C Competizione","null","Alfa Romeo","","5"
"1329","9","9","null","Renault","","96"
"1391","9-2","9-2","null","Saab","","101"
"1392","9-3","9-3","null","Saab","","101"
"1393","9-5","9-5","null","Saab","","101"
"1394","9-7X","9-7X","null","Saab","","101"
"174","90","90","null","Alfa Romeo","","5"
"209","90","90","null","Audi","","10"
"1395","900","900","null","Saab","","101"
"1396","900 II","900 II","null","Saab","","101"
"1397","9000","9000","null","Saab","","101"
"1302","911","911","null","Porsche","","94"
"2039","911 Coupe","911 Coupe","null","Porsche","","94"
"1303","924","924","null","Porsche","","94"
"1304","928","928","null","Porsche","","94"
"976","929","929","null","Mazda","","77"
"1704","940","940","null","Volvo","","125"
"1705","944","944","null","Volvo","","125"
"1305","944","944","null","Porsche","","94"
"1706","945","945","null","Volvo","","125"
"1707","960","960","null","Volvo","","125"
"1815","965","965","null","ЗАЗ","","138"
"1816","966","966","null","ЗАЗ","","138"
"1836","967","967","null","ЛУАЗ","","141"
"1837","967М","967М","null","ЛУАЗ","","141"
"1817","968","968","null","ЗАЗ","","138"
"1306","968","968","null","Porsche","","94"
"1818","968М","968М","null","ЗАЗ","","138"
"1838","969","969","null","ЛУАЗ","","141"
"1839","969А","969А","null","ЛУАЗ","","141"
"1840","969Б","969Б","null","ЛУАЗ","","141"
"1841","969М","969М","null","ЛУАЗ","","141"
"1307","996","996","null","Porsche","","94"
"1308","997","997","null","Porsche","","94"
"1014","A-класс","A-класс","null","Mercedes-Benz","","79"
"2286","A1","A1","","Audi","","10"
"210","A2","A2","null","Audi","","10"
"2265","A21","A21","null","Chery","","20"
"211","A3","A3","null","Audi","","10"
"212","A4","A4","null","Audi","","10"
"213","A5","A5","null","Audi","","10"
"214","A6","A6","null","Audi","","10"
"215","A6 allroad quattro","A6 allroad quattro","null","Audi","","10"
"2277","A7","A7","","Audi","","10"
"216","A8","A8","null","Audi","","10"
"1900","A8L","A8L","null","Audi","","10"
"2","AC","AC","null","","","null"
"667","Acadia","Acadia","null","GMC","","41"
"760","Accent","Accent","null","Hyundai","","52"
"1274","Acclaim","Acclaim","null","Plymouth","","92"
"704","Accord","Accord","null","Honda","","49"
"145","Ace","Ace","null","AC","","2"
"146","Aceca","Aceca","null","AC","","2"
